"temp.max" "temp.avg" "temp.min" "dew.max" "dew.avg" "dew.min" "hum.max" "hum.avg" "hum.min" "press.max" "press.avg" "press.min" "wind.max" "wind.avg" "percip"
"54" 23 18 13 9 7 5 72 47 24 1018 1016 1014 18 10 0
"55" 17 13 10 13 11 7 100 82 60 1014 1013 1011 18 5 9.91
"56" 21 16 10 13 9 5 100 65 28 1017 1016 1014 18 11 0
"57" 21 16 10 14 11 8 94 73 45 1019 1017 1015 32 13 3.05
"58" 22 16 11 12 9 4 89 59 23 1024 1022 1019 16 11 0
"59" 26 18 9 12 9 8 100 55 25 1025 1022 1018 13 5 0
"60" 27 20 14 16 13 10 82 57 35 1018 1013 1010 21 10 0
"61" 26 20 14 16 13 10 82 60 32 1013 1011 1010 18 11 0
"62" 22 19 14 17 13 7 94 63 26 1015 1012 1010 32 14 0
"63" 16 11 6 8 4 2 93 65 44 1014 1008 1005 26 11 0.25
"64" 15 8 2 6 2 -1 100 62 23 1013 1009 1006 21 6 0
"65" 17 10 4 4 1 -2 87 48 17 1016 1014 1013 14 6 0
"66" 17 12 7 12 6 0 100 61 38 1014 1012 1011 24 13 0.25
"67" 23 16 7 13 11 8 100 68 26 1014 1012 1009 24 10 0
"68" 18 16 13 15 14 12 100 85 55 1013 1011 1009 23 10 16
"69" 19 13 8 13 9 4 100 70 25 1017 1014 1013 23 10 0
"70" 17 12 7 8 5 2 93 58 26 1021 1019 1017 18 10 0
"71" 20 14 9 8 6 4 76 54 30 1020 1018 1017 16 6 0
"72" 16 13 10 13 9 6 94 75 52 1024 1019 1016 29 11 2.03
"73" 15 11 6 8 6 4 93 71 38 1029 1027 1024 19 11 0
"74" 22 13 4 8 6 3 100 58 19 1028 1022 1012 19 8 0
"75" 17 13 11 12 6 2 94 56 27 1017 1014 1011 32 16 0
"76" 17 12 7 8 6 3 93 66 37 1011 1008 1006 27 8 2.03
"77" 16 11 7 8 6 0 93 70 30 1017 1012 1009 29 11 0
"78" 17 10 2 6 1 -6 93 50 15 1020 1018 1016 16 8 0
"79" 15 11 8 9 4 -1 94 58 25 1019 1017 1016 32 14 0
"80" 18 12 7 14 4 2 94 54 25 1019 1015 1011 26 10 0
"81" 26 17 9 16 10 4 94 64 25 1011 1008 1006 29 10 3.05
"82" 22 18 13 16 14 12 100 85 55 1012 1010 1008 19 6 0.51
"83" 15 12 9 12 9 8 100 78 57 1023 1018 1012 23 16 0
"84" 17 13 10 9 8 5 88 63 39 1025 1023 1022 16 10 0
"85" 15 12 9 10 8 5 100 72 51 1023 1019 1017 19 5 0
"86" 19 14 10 11 9 7 94 69 42 1019 1018 1017 11 5 0
"87" 20 16 11 13 12 9 94 78 43 1018 1014 1009 21 6 0.76
"88" 17 13 10 14 12 7 100 87 75 1012 1009 1007 34 13 6.1
"89" 14 11 8 7 6 4 88 68 40 1015 1013 1011 26 19 0
"90" 16 11 7 7 5 4 87 61 34 1017 1015 1014 21 11 0
"91" 21 12 4 10 7 3 100 63 34 1015 1013 1011 11 6 0
"92" 23 18 12 12 10 7 88 61 33 1014 1011 1009 21 11 0.25
"93" 19 14 11 8 5 2 82 50 23 1020 1017 1014 19 10 0
"94" 19 13 7 9 7 4 93 62 28 1012 1008 1007 26 8 0
"95" 9 6 3 4 1 -1 87 66 44 1018 1016 1012 24 18 0
"96" 6 5 3 4 3 0 100 79 45 1021 1019 1018 24 16 7.87
"97" 13 6 -1 4 1 -4 100 67 27 1020 1017 1015 29 10 0
"98" 11 6 1 3 0 -3 87 59 26 1021 1019 1017 23 11 0
"99" 15 9 4 5 3 -1 93 60 29 1022 1019 1015 16 8 0
"100" 22 16 10 13 8 4 94 64 33 1015 1011 1009 29 13 1.02
"101" 19 14 9 12 10 6 100 76 34 1014 1013 1011 23 6 0
"102" 21 14 9 13 10 8 94 70 40 1014 1012 1011 26 10 0
"103" 15 12 9 11 8 6 88 69 41 1012 1010 1009 35 14 0.25
"104" 19 13 8 10 8 6 87 64 34 1010 1005 1003 26 11 0
"105" 17 13 9 9 7 5 87 70 43 1009 1006 1004 29 13 0
"106" 16 12 8 8 7 6 93 72 41 1015 1010 1008 27 10 0.51
"107" 16 11 6 8 6 4 100 67 39 1022 1017 1014 23 6 0.25
"108" 17 13 10 9 7 6 82 62 39 1023 1021 1020 35 21 0
"109" 12 10 8 11 8 5 94 82 46 1021 1018 1017 35 27 7.11
"110" 18 14 11 14 12 10 100 91 60 1018 1014 1011 23 14 13.97
"111" 19 14 8 13 11 8 100 76 45 1016 1014 1011 19 6 0
"112" 23 16 9 12 10 8 94 63 31 1016 1016 1015 16 8 0
"113" 25 18 10 13 11 9 100 62 27 1017 1016 1015 11 5 0
"114" 27 20 13 14 12 8 94 58 20 1020 1019 1017 14 8 0
"115" 27 21 15 15 13 9 82 54 22 1020 1018 1016 29 14 0
"116" 28 22 17 15 13 11 82 52 26 1017 1015 1013 34 18 0
"117" 28 22 17 14 12 8 77 49 18 1015 1014 1013 34 16 0
"118" 24 19 15 17 16 13 88 71 51 1019 1017 1014 24 10 0
"119" 26 21 16 17 15 13 94 78 46 1019 1017 1013 29 11 24.89
"120" 25 20 15 18 16 14 100 75 40 1014 1010 1007 26 11 0
"121" 16 13 11 16 13 10 95 88 72 1010 1008 1006 23 14 5.08
"122" 11 9 7 9 7 4 94 79 54 1015 1011 1009 21 16 0
"123" 15 12 9 8 7 7 93 75 45 1017 1016 1014 16 10 0
"124" 21 14 7 10 8 7 93 61 30 1018 1015 1013 21 8 0
